"dt","AverageTemperature","AverageTemperatureUncertainty","Country"
"1838-04-01",13.008,2.586,"Afghanistan"
"1838-06-01",23.95,2.51,"Afghanistan"
"1838-07-01",26.877,2.883,"Afghanistan"
"1838-08-01",24.938,2.992,"Afghanistan"
"1838-09-01",18.981,2.538,"Afghanistan"
"1838-10-01",13.428,3.039,"Afghanistan"
"1838-11-01",7.475,2.744,"Afghanistan"
"1840-01-01",0.735,2.492,"Afghanistan"
"1840-02-01",1.661,2.563,"Afghanistan"
"1840-03-01",6.513,2.402,"Afghanistan"
"1840-04-01",13.965,2.617,"Afghanistan"
"1840-05-01",19.618,2.516,"Afghanistan"
"1840-06-01",24.812,2.466,"Afghanistan"
"1840-07-01",27.739,2.353,"Afghanistan"
"1840-08-01",24.812,2.343,"Afghanistan"
"1840-09-01",18.989,2.366,"Afghanistan"
"1840-11-01",6.773,2.862,"Afghanistan"
"1840-12-01",1.931,2.542,"Afghanistan"
"1841-01-01",-0.883,2.471,"Afghanistan"
"1841-03-01",5.521,3.008,"Afghanistan"
"1841-04-01",12.556,2.423,"Afghanistan"
"1841-05-01",19.614,2.322,"Afghanistan"
"1841-06-01",24.251,2.358,"Afghanistan"
"1841-07-01",27.104,2.445,"Afghanistan"
"1841-08-01",24.687,2.423,"Afghanistan"
"1841-09-01",19.014,2.325,"Afghanistan"
"1841-11-01",6.754,2.332,"Afghanistan"
"1841-12-01",1.358,2.414,"Afghanistan"
"1842-03-01",9.489,2.691,"Afghanistan"
"1842-04-01",14.983,2.428,"Afghanistan"
"1842-05-01",19.303,2.378,"Afghanistan"
"1842-07-01",25.798,2.404,"Afghanistan"
"1842-08-01",24.808,2.472,"Afghanistan"
"1842-09-01",18.641,2.265,"Afghanistan"
"1842-10-01",12.724,2.239,"Afghanistan"
"1842-11-01",7.316,2.377,"Afghanistan"
"1842-12-01",3.33,2.177,"Afghanistan"
"1843-01-01",0.674,2.502,"Afghanistan"
"1843-02-01",4.221,2.249,"Afghanistan"
"1843-03-01",8.404,2.49,"Afghanistan"
"1843-04-01",14.319,2.245,"Afghanistan"
"1843-05-01",19.401,2.181,"Afghanistan"
"1843-06-01",24.452,2.257,"Afghanistan"
"1843-07-01",26.748,2.312,"Afghanistan"
"1843-08-01",24.527,2.444,"Afghanistan"
"1843-09-01",19.563,2.191,"Afghanistan"
"1843-10-01",13.312,2.313,"Afghanistan"
"1843-11-01",7.015,2.162,"Afghanistan"
"1843-12-01",2.439,2.891,"Afghanistan"
"1844-01-01",1.103,2.251,"Afghanistan"
"1844-02-01",2.198,2.324,"Afghanistan"
"1844-03-01",8.085,2.306,"Afghanistan"
"1844-04-01",12.855,2.312,"Afghanistan"
"1844-05-01",18.947,2.147,"Afghanistan"
"1844-06-01",24.106,2.089,"Afghanistan"
"1844-07-01",26.576,2.183,"Afghanistan"
"1844-08-01",24.531,2.8,"Afghanistan"
"1844-09-01",18.811,2.119,"Afghanistan"
"1844-10-01",13.39,2.086,"Afghanistan"
"1844-11-01",6.224,2.065,"Afghanistan"
"1844-12-01",0.959,2.143,"Afghanistan"
"1845-01-01",0.421,2.621,"Afghanistan"
"1845-02-01",1.457,2.489,"Afghanistan"
"1845-03-01",8.436,2.256,"Afghanistan"
"1845-04-01",14.342,2.292,"Afghanistan"
"1845-05-01",20.025,2.293,"Afghanistan"
"1845-06-01",24.166,2.255,"Afghanistan"
"1845-07-01",26.383,2.337,"Afghanistan"
"1845-08-01",24.941,2.375,"Afghanistan"
"1845-09-01",19.392,2.347,"Afghanistan"
"1845-10-01",12.778,2.243,"Afghanistan"
"1845-11-01",6.757,2.352,"Afghanistan"
"1845-12-01",0.572,2.591,"Afghanistan"
"1846-01-01",1.194,2.89,"Afghanistan"
"1846-02-01",4.639,2.462,"Afghanistan"
"1846-03-01",9.195,2.402,"Afghanistan"
"1846-04-01",13.266,2.289,"Afghanistan"
"1846-05-01",20.016,2.429,"Afghanistan"
"1846-06-01",24.881,2.411,"Afghanistan"
"1846-07-01",27.278,2.491,"Afghanistan"
"1846-08-01",24.891,2.437,"Afghanistan"
"1846-09-01",19.735,2.491,"Afghanistan"
"1846-10-01",12.567,2.305,"Afghanistan"
"1846-11-01",7.013,2.376,"Afghanistan"
"1846-12-01",3.695,2.324,"Afghanistan"
"1847-01-01",0.868,3.509,"Afghanistan"
"1847-02-01",4.191,2.26,"Afghanistan"
"1847-03-01",6.916,2.405,"Afghanistan"
